"season"	"county"	"birds_seen"	"variety_seen"	"birder_count"	"avg_birds_seen"	"seen_rank"	"variety_rank"	"score"	"rating"	"state"
"1"	"Fall"	"baker"	111131	204	216	514.49537037037	30	28	42	"Bottom third"	"oregon"
"2"	"Spring"	"baker"	170831	238	507	336.944773175542	26	24	50	"Middle third"	"oregon"
"3"	"Summer"	"baker"	165270	230	600	275.45	25	20	55	"Middle third"	"oregon"
"4"	"Winter"	"baker"	97196	147	193	503.60621761658	30	32	38	"Bottom third"	"oregon"
"5"	"Fall"	"benton"	8532056	260	1668	5115.14148681055	1	12.5	86.5	"Top third"	"oregon"
"6"	"Spring"	"benton"	4650367	263	1906	2439.85676810073	1	15	84	"Top third"	"oregon"
"7"	"Summer"	"benton"	2226592	244	1328	1676.65060240964	2	16	82	"Top third"	"oregon"
"8"	"Winter"	"benton"	11091163	216	1826	6074.02135815991	1	8.5	90.5	"Top third"	"oregon"
"9"	"Fall"	"clackamas"	825880	218	1148	719.407665505227	26	21	53	"Middle third"	"oregon"
"10"	"Spring"	"clackamas"	894822	236	1883	475.21083377589	21	26	53	"Middle third"	"oregon"
"11"	"Summer"	"clackamas"	473016	214	1928	245.340248962656	27	29.5	43.5	"Bottom third"	"oregon"
"12"	"Winter"	"clackamas"	1137410	184	1386	820.642135642136	23	19	58	"Middle third"	"oregon"
"13"	"Fall"	"clatsop"	2174394	283	1268	1714.82176656151	11	6	83	"Top third"	"oregon"
"14"	"Spring"	"clatsop"	2989836	286	2070	1444.3652173913	7	8	85	"Top third"	"oregon"
"15"	"Summer"	"clatsop"	3865117	265	2687	1438.45068850019	3	10	87	"Top third"	"oregon"
"16"	"Winter"	"clatsop"	2277715	223	1247	1826.55573376103	15	7	78	"Top third"	"oregon"
"17"	"Fall"	"columbia"	2756213	218	859	3208.62980209546	3	21	76	"Top third"	"oregon"
"18"	"Spring"	"columbia"	1149884	230	1084	1060.77859778598	11	27	62	"Middle third"	"oregon"
"19"	"Summer"	"columbia"	1038356	214	783	1326.1251596424	4	29.5	66.5	"Middle third"	"oregon"
"20"	"Winter"	"columbia"	3648449	187	1328	2747.32605421687	6	17.5	76.5	"Top third"	"oregon"
"21"	"Fall"	"coos"	913343	285	747	1222.68139223561	17	5	78	"Top third"	"oregon"
"22"	"Spring"	"coos"	1500811	296	921	1629.5450597177	5	5	90	"Top third"	"oregon"
"23"	"Summer"	"coos"	765723	277	1255	610.137848605578	13	8	79	"Top third"	"oregon"
"24"	"Winter"	"coos"	1152494	241	585	1970.07521367521	14	2	84	"Top third"	"oregon"
"25"	"Fall"	"crook"	359461	215	293	1226.82935153584	16	23.5	60.5	"Middle third"	"oregon"
"26"	"Spring"	"crook"	565013	255	694	814.13976945245	15	16	69	"Middle third"	"oregon"
"27"	"Summer"	"crook"	380263	248	561	677.830659536542	11	15	74	"Middle third"	"oregon"
"28"	"Winter"	"crook"	1479777	159	275	5381.00727272727	2	25.5	72.5	"Middle third"	"oregon"
"29"	"Fall"	"curry"	533599	290	611	873.320785597381	24	4	72	"Middle third"	"oregon"
"30"	"Spring"	"curry"	390835	281	792	493.478535353535	20	10	70	"Middle third"	"oregon"
"31"	"Summer"	"curry"	283114	290	977	289.778915046059	22	2	76	"Top third"	"oregon"
"32"	"Winter"	"curry"	197386	210	397	497.19395465995	31	10	59	"Middle third"	"oregon"
"33"	"Fall"	"deschutes"	1943598	266	1757	1106.20261809903	18	9.5	72.5	"Middle third"	"oregon"
"34"	"Spring"	"deschutes"	2048122	289	3315	617.834690799397	18	7	75	"Top third"	"oregon"
"35"	"Summer"	"deschutes"	1699611	287	3112	546.147493573265	15	3	82	"Top third"	"oregon"
"36"	"Winter"	"deschutes"	1609864	199	1516	1061.91556728232	20	13.5	66.5	"Middle third"	"oregon"
"37"	"Fall"	"douglas"	550934	263	622	885.745980707395	23	11	66	"Middle third"	"oregon"
"38"	"Spring"	"douglas"	326320	308	974	335.030800821355	27	2.5	70.5	"Middle third"	"oregon"
"39"	"Summer"	"douglas"	326614	283	1139	286.755048287972	24	6	70	"Middle third"	"oregon"
"40"	"Winter"	"douglas"	380840	229	632	602.594936708861	25	6	69	"Middle third"	"oregon"
"41"	"Fall"	"gilliam"	77634	161	188	412.946808510638	34	35	31	"Bottom third"	"oregon"
"42"	"Spring"	"gilliam"	68629	210	321	213.797507788162	32	34	34	"Bottom third"	"oregon"
"43"	"Summer"	"gilliam"	41020	187	294	139.52380952381	33	34	33	"Bottom third"	"oregon"
"44"	"Winter"	"gilliam"	89348	138	218	409.853211009174	34	33.5	32.5	"Bottom third"	"oregon"
"45"	"Fall"	"grant"	56257	179	189	297.656084656085	35	34	31	"Bottom third"	"oregon"
"46"	"Spring"	"grant"	144715	224	508	284.872047244094	30	31	39	"Bottom third"	"oregon"
