"season"	"county"	"locality"	"birds_seen"	"variety_seen"	"birder_count"	"avg_birds_seen"	"seen_rank"	"variety_rank"	"score"	"hot_spot_rank"	"latitude"	"longitude"
"1"	"Fall"	"baker"	"Baker Sewage Treatment Ponds (restricted access)"	14471	67	9	1607.88888888889	1	4	95	1	44.8135987	-117.8437478
"2"	"Fall"	"baker"	"Bob's Lake"	9927	67	19	522.473684210526	2	4	94	2	44.8375823	-117.8182411
"3"	"Fall"	"baker"	"Coral Ditch"	6100	60	25	244	9	7	84	9	44.7987496	-117.8081346
"4"	"Fall"	"baker"	"Farewell Bend SP"	8341	83	35	238.314285714286	10	2	88	4	44.3059155	-117.2263527
"5"	"Fall"	"baker"	"Halfway (town)"	269	34	1	269	8	12	80	10	44.877085	-117.108465
"6"	"Fall"	"baker"	"Hewitt Park"	2489	67	5	497.8	3	4	93	3	44.7566797	-117.126859
"7"	"Fall"	"baker"	"Hwy. 203 Pond"	2836	47	7	405.142857142857	5	9	86	7.5	44.8598844	-117.8142929
"8"	"Fall"	"baker"	"North Powder Pond"	8432	100	36	234.222222222222	12	1	87	5.5	45.013214	-117.930166
"9"	"Fall"	"baker"	"Thief Valley Reservoir (Baker Co.)"	4207	60	12	350.583333333333	6	7	87	5.5	45.0315222	-117.8069544
"10"	"Fall"	"baker"	"Unity Lake SP--Reservoir"	1763	39	4	440.75	4	10	86	7.5	44.5025468	-118.1909695
"11"	"Fall"	"benton"	"Butterfield Wetland"	54234	102	26	2085.92307692308	7	13	80	6	44.5345942	-123.2580936
"12"	"Fall"	"benton"	"Philomath Sewage Ponds (restricted access)"	2319834	192	423	5484.24113475177	1	1	98	1	44.5185755	-123.3444586
"13"	"Fall"	"benton"	"Stewart Lake (restricted access)"	40004	93	29	1379.44827586207	14	18.5	67.5	10	44.5870442	-123.2442856
"14"	"Fall"	"benton"	"Willamette Park (Benton Co.)"	239321	156	104	2301.16346153846	3	4	93	2.5	44.5410582	-123.2462597
"15"	"Fall"	"benton"	"Willamette Park--South Side"	74555	134	56	1331.33928571429	16	6	78	7	44.5373738	-123.2487487
"16"	"Fall"	"benton"	"William L. Finley NWR"	295543	164	198	1492.64141414141	12	2	86	5	44.4215209	-123.3151817
"17"	"Fall"	"benton"	"William L. Finley NWR--Bruce Rd."	166433	127	127	1310.49606299213	17	7	76	8	44.3895666	-123.3003867
"18"	"Fall"	"benton"	"William L. Finley NWR--Cabell Marsh"	431001	163	194	2221.65463917526	5	3	92	4	44.4152525	-123.319205
"19"	"Fall"	"benton"	"William L. Finley NWR--Cheadle Marsh"	33639	113	27	1245.88888888889	18	9	73	9	44.3954315	-123.3006334
"20"	"Fall"	"benton"	"William L. Finley NWR--McFadden Marsh"	1297537	150	294	4413.39115646259	2	5	93	2.5	44.3907013	-123.2976294
"21"	"Fall"	"clackamas"	"Anderson Rd. Swale"	36606	80	32	1143.9375	4	15	81	6	45.240578	-122.746159
"22"	"Fall"	"clackamas"	"Brown's Ferry Park"	35920	112	109	329.54128440367	22	2	76	10	45.3830796	-122.7380133
"23"	"Fall"	"clackamas"	"Canby Logging Trail"	13931	65	5	2786.2	1	22.5	76.5	9	45.2926411	-122.6840687
"24"	"Fall"	"clackamas"	"Happy Valley Nature Park"	13243	83	23	575.782608695652	7	13	80	7	45.4498306	-122.5215654
"25"	"Fall"	"clackamas"	"Ivor Davies Park"	21476	102	34	631.647058823529	6	4	90	1	45.136353	-122.570065
"26"	"Fall"	"clackamas"	"Mary S. Young SP"	23878	84	46	519.086956521739	10	12	78	8	45.3818978	-122.6311717
"27"	"Fall"	"clackamas"	"Milo McIver SP"	8808	99	20	440.4	12	6.5	81.5	5	45.2948027	-122.364006
"28"	"Fall"	"clackamas"	"River Island Natural Area--North Unit"	4292	89	6	715.333333333333	5	10.5	84.5	4	45.377883	-122.3986139
"29"	"Fall"	"clackamas"	"River Island Natural Area--South Unit"	14466	110	26	556.384615384615	9	3	88	2.5	45.371773	-122.405607
"30"	"Fall"	"clackamas"	"Timothy Lake"	23968	119	51	469.960784313725	11	1	88	2.5	45.1187305	-121.7934036
"31"	"Fall"	"clatsop"	"Airport Dike Trail"	23250	94	20	1162.5	8	23	69	9	46.1637457	-123.8780808
"32"	"Fall"	"clatsop"	"Brownsmead area"	59502	111	35	1700.05714285714	3	12.5	84.5	2	46.2151793	-123.5395432
"33"	"Fall"	"clatsop"	"Cannon Beach Settling Ponds"	67863	140	177	383.406779661017	19	5	76	5	45.8972364	-123.9574099
"34"	"Fall"	"clatsop"	"Fort Stevens SP--South Jetty/Parking Area C"	54608	146	159	343.446540880503	23	3	74	6	46.2286726	-124.0217721
"35"	"Fall"	"clatsop"	"Seaside Cove"	72178	151	263	274.441064638783	32	1	67	10	45.9755964	-123.9397073
"36"	"Fall"	"clatsop"	"Silver Point"	42808	107	65	658.584615384615	12	14.5	73.5	7.5	45.8547974	-123.9647484
"37"	"Fall"	"clatsop"	"Sunset Beach Recreation Area"	33699	129	87	387.344827586207	18	8.5	73.5	7.5	46.1011393	-123.9375036
"38"	"Fall"	"clatsop"	"Svenson Island Rd."	52683	107	43	1225.18604651163	7	14.5	78.5	4	46.1760972	-123.6502433
"39"	"Fall"	"clatsop"	"Warrenton Sewage Ponds (restricted access)"	26719	111	18	1484.38888888889	4	12.5	83.5	3	46.1744221	-123.921833
"40"	"Fall"	"clatsop"	"Wireless Rd."	206376	150	148	1394.43243243243	5	2	93	1	46.1602748	-123.8265181
"41"	"Fall"	"columbia"	"Crown Zellerbach Trail (east end)"	108188	135	103	1050.36893203884	14	2	84	7	45.754063	-122.850469
"42"	"Fall"	"columbia"	"Marshland Bottoms"	21126	100	16	1320.375	10	13	77	9.5	46.1190902	-123.281343
"43"	"Fall"	"columbia"	"Sauvie Island (Columbia Co.)"	72543	130	43	1687.04651162791	6	3	91	2	45.763691	-122.7948761
"44"	"Fall"	"columbia"	"Sauvie Island--Multnomah Channel (Columbia Co.)"	38106	99	27	1411.33333333333	9	14	77	9.5	45.7350623	-122.8404093
"45"	"Fall"	"columbia"	"Sauvie Island--Racetrack Lake"	23488	106	16	1468	8	10	82	8	45.7449186	-122.7841514
"46"	"Fall"	"columbia"	"Sauvie Island--Reeder Rd. Observation Shelter"	406754	124	265	1534.92075471698	7	4	89	4.5	45.73246	-122.7739978
"47"	"Fall"	"columbia"	"Sauvie Island--Rentenaar Rd."	1136632	142	287	3960.39024390244	1	1	98	1	45.7574596	-122.776551
"48"	"Fall"	"columbia"	"Sauvie Island--The Narrows"	56207	108	25	2248.28	4	8	88	6	45.7336245	-122.8162479
"49"	"Fall"	"columbia"	"Sauvie Island--The Wash"	51645	107	19	2718.15789473684	2	9	89	4.5	45.7416518	-122.8041726
"50"	"Fall"	"columbia"	"Scappoose Bottoms"	44181	114	26	1699.26923076923	5	5	90	3	45.779824	-122.824323
"51"	"Fall"	"coos"	"Bandon Marsh NWR--Observation Deck"	53539	134	105	509.895238095238	15	3	82	4	43.130861	-124.4013423
"52"	"Fall"	"coos"	"Bradley Lake"	8299	95	3	2766.33333333333	2	17	81	5	43.0658468	-124.4267299
"53"	"Fall"	"coos"	"Cape Arago SP"	147858	122	107	1381.85046728972	6	6	88	2	43.306011	-124.3990517
"54"	"Fall"	"coos"	"Coquille River--South Jetty "	44575	130	109	408.94495412844	20	4	76	9	43.1222404	-124.4282663
"55"	"Fall"	"coos"	"Johnson Pond"	30982	120	22	1408.27272727273	5	7.5	87.5	3	43.1323095	-124.1843891
"56"	"Fall"	"coos"	"Millicoma Marsh"	38922	146	84	463.357142857143	18	2	80	6	43.3682768	-124.1908908
"57"	"Fall"	"coos"	"Myrtle Point Marsh"	10603	101	10	1060.3	10	13	77	8	43.0584156	-124.138577
"58"	"Fall"	"coos"	"North Spit--Jarvis Turn Bayside Trail"	6210	105	12	517.5	14	12	74	10	43.4218504	-124.2732882
