"season"	"county"	"common_name"	"number_seen"	"total_number_seen"	"percentage_of_total"
"1"	"Fall"	"baker"	"Canada Goose"	18897	111131	17
"2"	"Fall"	"baker"	"European Starling"	13831	111131	12
"3"	"Fall"	"baker"	"Mallard"	9794	111131	9
"4"	"Fall"	"baker"	"American Coot"	6416	111131	6
"5"	"Fall"	"baker"	"Northern Shoveler"	6861	111131	6
"6"	"Fall"	"baker"	"American Wigeon"	2991	111131	3
"7"	"Fall"	"baker"	"House Sparrow"	3265	111131	3
"8"	"Fall"	"baker"	"Ring-necked Duck"	3277	111131	3
"9"	"Fall"	"baker"	"American Robin"	1865	111131	2
"10"	"Fall"	"baker"	"California Quail"	2193	111131	2
"11"	"Fall"	"benton"	"Cackling Goose"	2590378	8532056	30
"12"	"Fall"	"benton"	"Northern Shoveler"	1008440	8532056	12
"13"	"Fall"	"benton"	"American Coot"	532860	8532056	6
"14"	"Fall"	"benton"	"Mallard"	550328	8532056	6
"15"	"Fall"	"benton"	"European Starling"	453198	8532056	5
"16"	"Fall"	"benton"	"American Wigeon"	288144	8532056	3
"17"	"Fall"	"benton"	"Canada Goose"	241227	8532056	3
"18"	"Fall"	"benton"	"Green-winged Teal"	226247	8532056	3
"19"	"Fall"	"benton"	"Northern Pintail"	229975	8532056	3
"20"	"Fall"	"benton"	"Ring-necked Duck"	253415	8532056	3
"21"	"Fall"	"clackamas"	"Cackling Goose"	216867	825880	26
"22"	"Fall"	"clackamas"	"Mallard"	46349	825880	6
"23"	"Fall"	"clackamas"	"European Starling"	39410	825880	5
"24"	"Fall"	"clackamas"	"American Crow"	34978	825880	4
"25"	"Fall"	"clackamas"	"Canada Goose"	32425	825880	4
"26"	"Fall"	"clackamas"	"Dark-eyed Junco"	35057	825880	4
"27"	"Fall"	"clackamas"	"American Robin"	22635	825880	3
"28"	"Fall"	"clackamas"	"Black-capped Chickadee"	20846	825880	3
"29"	"Fall"	"clackamas"	"American Wigeon"	13275	825880	2
"30"	"Fall"	"clackamas"	"Bushtit"	14485	825880	2
"31"	"Fall"	"clatsop"	"Cackling Goose"	386552	2174394	18
"32"	"Fall"	"clatsop"	"European Starling"	219808	2174394	10
"33"	"Fall"	"clatsop"	"Dunlin"	190834	2174394	9
"34"	"Fall"	"clatsop"	"Northern Pintail"	99661	2174394	5
"35"	"Fall"	"clatsop"	"American Wigeon"	92891	2174394	4
"36"	"Fall"	"clatsop"	"Mallard"	77873	2174394	4
"37"	"Fall"	"clatsop"	"California Gull"	69246	2174394	3
"38"	"Fall"	"clatsop"	"American Crow"	34632	2174394	2
"39"	"Fall"	"clatsop"	"Bufflehead"	41870	2174394	2
"40"	"Fall"	"clatsop"	"Canada Goose"	52224	2174394	2
"41"	"Fall"	"columbia"	"Cackling Goose"	1398827	2756213	51
"42"	"Fall"	"columbia"	"Snow Goose"	407695	2756213	15
"43"	"Fall"	"columbia"	"Sandhill Crane"	99901	2756213	4
"44"	"Fall"	"columbia"	"European Starling"	70153	2756213	3
"45"	"Fall"	"columbia"	"Red-winged Blackbird"	69978	2756213	3
"46"	"Fall"	"columbia"	"American Coot"	54076	2756213	2
"47"	"Fall"	"columbia"	"Canada Goose"	49907	2756213	2
"48"	"Fall"	"columbia"	"Green-winged Teal"	41730	2756213	2
"49"	"Fall"	"columbia"	"Mallard"	58410	2756213	2
"50"	"Fall"	"columbia"	"Northern Pintail"	41506	2756213	2
"51"	"Fall"	"coos"	"Pacific Loon"	98903	913343	11
"52"	"Fall"	"coos"	"California Gull"	75764	913343	8
"53"	"Fall"	"coos"	"American Wigeon"	54977	913343	6
"54"	"Fall"	"coos"	"Surf Scoter"	56377	913343	6
